tokens,labels
date: 2020-11-19,O
“,O
evidence,O
of,O
vote,O
##r,O
fraud,O
continues,O
to,O
grow,O
",",O
including,O
20,O
",",O
000,O
dead,O
people,O
on,O
the,O
pennsylvania,O
vote,O
##rs,O
roll,O
and,O
many,O
thousands,O
all,O
over,O
the,O
country,O
.,O
now,O
",",O
there,O
has,O
been,O
an,O
artificial,O
number,O
of,O
votes,O
in,O
favor,O
of,O
joe,O
bid,O
##en,O
.,O
”,O
@,O
oa,O
##nn,O
,O
,O
date: 2020-11-19,O
almost,O
zero,O
ball,O
##ot,O
##s,O
rejected,O
in,O
georgia,O
this,O
election,O
.,O
in,O
years,O
past,O
",",O
close,O
to,O
4,O
%,O
.,O
not,O
possible,O
.,O
must,O
have,O
signature,O
check,O
on,O
envelope,O
##s,O
now,O
.,O
very,O
easy,O
to,O
do,O
.,O
dem,O
##s,O
fighting,O
because,O
they,O
got,O
caught,O
.,O
far,O
more,O
votes,O
than,O
needed,O
for,O
flip,O
.,O
republic,O
##ans,O
must,O
get,O
tough,O
!,O
@,O
brian,O
##ke,O
##mp,O
##ga,O
,O
,O
date: 2020-11-26,O
just,O
saw,O
the,O
vote,O
tabula,O
##tions,O
.,O
there,O
is,O
no,O
way,O
bid,O
##en,O
got,O
80,O
",",O
000,O
",",O
000,O
votes,O
!,O
!,O
!,O
this,O
was,O
a,O
100,O
%,O
rig,O
##ged,O
election,O
.,O
,O
,O
date: 2020-11-10,O
we,O
will,O
win,O
!,O
,O
,O
date: 2020-11-26,O
happy,O
thanksgiving,O
!,O
,O
,O
date: 2020-11-10,O
watch,O
for,O
massive,O
ball,O
##ot,O
counting,O
abuse,O
and,O
",",O
just,O
like,O
the,O
early,O
vaccine,O
",",O
remember,O
i,O
told,O
you,O
so,O
!,O
,O
,O
date: 2020-11-26,O
no,O
thanks,O
!,O
,O
,O
date: 2020-11-10,O
ball,O
##ot,O
counting,O
abuse,O
!,O
,O
,O
date: 2020-11-20,O
great,O
book,O
!,O
,O
,O
date: 2020-11-20,O
a,O
rig,O
##ged,O
election,O
!,O
,O
,O
date: 2020-11-26,O
a,O
total,O
fraud,O
.,O
state,O
##house,O
republic,O
##ans,O
",",O
proud,O
",",O
strong,O
and,O
honest,O
",",O
will,O
never,O
let,O
this,O
tra,O
##vest,O
##y,O
stand,O
!,O
,O
,O
date: 2020-11-10,O
highly,O
respected,O
ken,O
star,O
##r,O
:,O
“,O
pennsylvania,O
’,O
s,O
three,O
-,O
day,O
extension,O
of,O
the,O
mail,O
-,O
in,O
ball,O
##ot,O
deadline,O
is,O
a,O
constitution,O
##al,O
tra,O
##vest,O
##y,O
.,O
”,O
legal,O
schola,O
##rs,O
agree,O
!,O
,O
,O
date: 2020-11-20,O
will,O
use,O
these,O
charts,O
in,O
court,O
case,O
.,O
the,O
election,O
was,O
a,O
ho,O
##ax,O
.,O
thank,O
you,O
justin,O
!,O
,O
,O
date: 2020-11-26,O
will,O
go,O
down,O
much,O
further,O
.,O
weekend,O
day,O
##time,O
even,O
worse,O
",",O
dead,O
.,O
they,O
still,O
don,O
’,O
t,O
get,O
it,O
.,O
fantastic,O
alternatives,O
!,O
the,O
late,O
/,O
great,O
roger,O
ai,O
##les,O
is,O
seriously,O
missed,O
",",O
but,O
i,O
still,O
won,O
legal,O
votes,O
by,O
a,O
lot,O
!,O
!,O
!,O
,O
,O
date: 2020-11-10,O
republic,O
##ans,O
",",O
don,O
’,O
t,O
let,O
andrew,O
mcca,O
##be,O
continue,O
to,O
get,O
away,O
with,O
totally,O
criminal,O
activity,O
.,O
what,O
he,O
did,O
should,O
never,O
be,O
allowed,O
to,O
happen,O
to,O
our,O
country,O
again,O
.,O
fight,O
for,O
justice,O
!,O
,O
,O
date: 2020-11-20,O
@,O
justin,O
_,O
hart,O
there,O
will,O
be,O
no,O
lock,O
##downs,O
other,O
than,O
those,O
done,O
by,O
certain,O
demo,O
##cra,O
##t,O
governors,O
!,O
,O
,O
date: 2020-11-26,O
so,O
much,O
truth,O
!,O
,O
,O
date: 2020-11-10,O
happy,O
245,O
##th,O
birth,O
##day,O
to,O
the,O
@,O
us,O
##mc,O
!,O
#,O
happy,O
##bi,O
##rth,O
##day,O
##mari,O
##nes,O
,O
,O
date: 2020-11-10,O
nat,O
##e,O
sim,O
##ington,O
",",O
a,O
very,O
smart,O
and,O
qualified,O
individual,O
",",O
is,O
having,O
his,O
senate,O
hearing,O
today,O
.,O
republic,O
##ans,O
will,O
hopefully,O
confirm,O
him,O
to,O
the,O
fcc,O
asa,O
##p,O
!,O
we,O
need,O
action,O
now,O
on,O
this,O
very,O
important,O
nom,O
##ination,O
!,O
!,O
@,O
sen,O
##ator,O
##wick,O
##er,O
@,O
marsh,O
##abl,O
##ack,O
##burn,O
@,O
senate,O
##ma,O
##j,O
##ld,O
##r,O
,O
,O
date: 2020-11-10,O
pennsylvania,O
party,O
leadership,O
votes,O
are,O
this,O
week,O
.,O
i,O
hope,O
they,O
pick,O
very,O
tough,O
and,O
smart,O
fight,O
##ers,O
.,O
we,O
will,O
win,O
!,O
!,O
,O
,O
date: 2020-11-20,O
rin,O
##o,O
mit,O
##t,O
rom,O
##ney,O
should,O
read,O
this,O
.,O
i,O
’,O
m,O
sure,O
",",O
however,O
",",O
that,O
he,O
feels,O
he,O
got,O
sla,O
##ught,O
##ering,O
by,O
obama,O
“,O
fair,O
and,O
square,O
”,O
.,O
,O
,O
date: 2020-11-26,O
a,O
bri,O
##lli,O
##ant,O
wo,O
##man,O
of,O
cour,O
##age,O
!,O
,O
,O
date: 2020-11-10,O
nat,O
##e,O
sim,O
##ington,O
",",O
a,O
very,O
smart,O
and,O
qualified,O
individual,O
",",O
is,O
having,O
his,O
senate,O
hearing,O
today,O
.,O
republic,O
##ans,O
will,O
hopefully,O
confirm,O
him,O
to,O
the,O
fcc,O
asa,O
##p,O
!,O
we,O
need,O
action,O
now,O
on,O
this,O
very,O
important,O
nom,O
##ination,O
!,O
!,O
@,O
sen,O
##ator,O
##wick,O
##er,O
@,O
marsh,O
##abl,O
##ack,O
##burn,O
@,O
senate,O
##ma,O
##j,O
##ld,O
##r,O
,O
,O
date: 2020-11-20,O
the,O
great,O
@,O
fox,O
##new,O
##s,O
day,O
##time,O
ratings,O
cra,O
##sh,O
will,O
only,O
get,O
worse,O
!,O
,O
,O
date: 2020-11-10,O
ball,O
##ot,O
corruption,O
will,O
be,O
exposed,O
ton,O
##ight,O
at,O
9,O
:,O
00,O
##pm,O
##e,O
on,O
@,O
sean,O
##hann,O
##ity,O
on,O
@,O
fox,O
##new,O
##s,O
!,O
,O
,O
date: 2020-11-27,O
a,O
must,O
read,O
.,O
impossible,O
for,O
bid,O
##en,O
to,O
have,O
overcome,O
these,O
",",O
and,O
even,O
greater,O
",",O
odds,O
!,O
,O
,O
date: 2020-10-25,O
so,O
true,O
!,O
,O
,O
date: 2020-11-20,O
thank,O
you,O
elizabeth,O
",",O
love,O
!,O
,O
,O
date: 2020-11-27,O
i,O
gave,O
a,O
long,O
news,O
conference,O
today,O
after,O
wishing,O
the,O
military,O
a,O
happy,O
thanksgiving,O
",",O
&,O
amp,O
;,O
realized,O
once,O
again,O
that,O
the,O
fa,O
##ke,O
news,O
media,O
coordinate,O
##s,O
so,O
that,O
the,O
real,O
message,O
of,O
such,O
a,O
conference,O
never,O
gets,O
out,O
.,O
primary,O
point,O
made,O
was,O
that,O
the,O
2020,O
election,O
was,O
rig,O
##ged,O
",",O
and,O
that,O
i,O
won,O
!,O
,O
,O
date: 2020-11-27,O
twitter,O
is,O
sending,O
out,O
totally,O
false,O
“,O
trends,O
”,O
that,O
have,O
absolutely,O
nothing,O
to,O
do,O
with,O
what,O
is,O
really,O
trending,O
in,O
the,O
world,O
.,O
they,O
make,O
it,O
up,O
",",O
and,O
only,O
negative,O
“,O
stuff,O
”,O
.,O
same,O
thing,O
will,O
happen,O
to,O
twitter,O
as,O
is,O
happening,O
to,O
@,O
fox,O
##new,O
##s,O
day,O
##time,O
.,O
also,O
",",O
big,O
conservative,O
discrimination,O
!,O
,O
,O
date: 2020-10-24,O
thank,O
you,O
pens,O
##aco,O
##la,O
",",O
florida,O
!,O
together,O
",",O
we,O
are,O
going,O
to,O
make,O
america,O
great,O
again,O
!,O
,O
,O
date: 2020-11-20,O
we,O
have,O
great,O
support,O
on,O
the,O
election,O
ho,O
##ax,O
!,O
,O
,O
date: 2020-11-27,O
for,O
purposes,O
of,O
national,O
security,O
",",O
section,O
230,O
must,O
be,O
immediately,O
terminated,O
!,O
!,O
!,O
,O
,O
date: 2020-11-11,O
“,O
i,O
don,O
’,O
t,O
care,O
what,O
state,O
your,O
in,O
",",O
this,O
computer,O
voting,O
system,O
is,O
wide,O
open,O
to,O
fraud,O
and,O
intervention,O
.,O
”,O
@,O
lou,O
##do,O
##bb,O
##s,O
true,O
",",O
and,O
wait,O
until,O
you,O
see,O
what,O
’,O
s,O
coming,O
!,O
,O
,O
date: 2020-11-11,O
“,O
i,O
don,O
’,O
t,O
care,O
what,O
state,O
you,O
’,O
re,O
in,O
",",O
this,O
computer,O
voting,O
system,O
is,O
wide,O
open,O
to,O
fraud,O
and,O
intervention,O
.,O
”,O
@,O
lou,O
##do,O
##bb,O
##s,O
true,O
",",O
and,O
wait,O
until,O
you,O
see,O
what,O
’,O
s,O
coming,O
!,O
,O
,O
date: 2020-11-27,O
wo,O
##w,O
!,O
twitter,O
ban,O
##s,O
highly,O
respected,O
pennsylvania,O
state,O
sen,O
##ator,O
doug,O
mast,O
##rian,O
##o,O
after,O
he,O
did,O
a,O
great,O
job,O
of,O
leading,O
a,O
hearing,O
on,O
the,O
2020,O
election,O
fraud,O
.,O
they,O
and,O
the,O
fa,O
##ke,O
news,O
",",O
working,O
together,O
",",O
want,O
to,O
sil,O
##ence,O
the,O
truth,O
.,O
can,O
’,O
t,O
let,O
that,O
happen,O
.,O
this,O
is,O
what,O
comm,O
##uni,O
##st,O
countries,O
do,O
!,O
,O
,O
date: 2020-11-27,O
big,O
news,O
:,O
pennsylvania,O
poll,O
watche,O
##r,O
:,O
usb,O
drives,O
upl,O
##oad,O
##ed,O
to,O
machines,O
",",O
gave,O
bid,O
##en,O
thousands,O
of,O
votes,O
.,O
says,O
47,O
usb,O
drives,O
are,O
now,O
missing,O
.,O
every,O
upl,O
##oad,O
gave,O
bid,O
##en,O
50,O
",",O
000,O
votes,O
.,O
@,O
oa,O
##nn,O
,O
,O
date: 2020-11-27,O
“,O
president,O
trump,O
nominate,O
##s,O
record,O
number,O
of,O
federal,O
judge,O
##s,O
.,O
”,O
@,O
oa,O
##nn,O
,O
,O
date: 2020-11-11,O
but,O
how,O
many,O
ball,O
##ot,O
##s,O
were,O
fraudulent,O
##ly,O
cast,O
for,O
the,O
dem,O
##s,O
?,O
did,O
people,O
vote,O
after,O
the,O
election,O
had,O
ended,O
?,O
did,O
officials,O
actually,O
not,O
allow,O
observe,O
##rs,O
and,O
poll,O
watche,O
##rs,O
to,O
look,O
for,O
an,O
honest,O
count,O
?,O
,O
,O
date: 2020-10-24,O
debate,O
poll,O
average,O
:,O
89,O
%,O
trump,O
.,O
11,O
%,O
sleep,O
##y,O
joe,O
bid,O
##en,O
!,O
,O
,O
date: 2020-11-11,O
andrew,O
mcca,O
##be,O
was,O
exposed,O
for,O
who,O
he,O
is,O
today,O
in,O
the,O
u,O
.,O
s,O
.,O
senate,O
.,O
he,O
was,O
totally,O
destroye,O
##d,O
-,O
an,O
ig,O
##nor,O
##ant,O
fo,O
##ol,O
.,O
the,O
great,O
people,O
of,O
the,O
fb,O
##i,O
must,O
make,O
sure,O
that,O
he,O
and,O
his,O
former,O
boss,O
",",O
james,O
come,O
##y,O
",",O
pay,O
the,O
price,O
for,O
what,O
they,O
have,O
done,O
to,O
the,O
reputation,O
of,O
the,O
fb,O
##i,O
.,O
,O
,O
date: 2020-11-20,O
gi,O
##uli,O
##ani,O
:,O
the,O
case,O
for,O
election,O
fraud,O
being,O
made,O
by,O
americans,O
via,O
@,O
bre,O
##it,O
##bar,O
##tn,O
##ew,O
##s,O
,O
,O
