tokens,labels
lastly,O
the,O
ig,O
reports,O
.,O
take,O
a,O
look,O
at,O
them,O
.,O
those,O
investigations,O
would,O
be,O
over,O
fast,O
!,O
,O
,O
date: 2020-12-21,O
.,O
.,O
.,O
wo,O
##w,O
",",O
he,O
just,O
voted,O
against,O
me,O
in,O
a,O
big,O
court,O
decision,O
on,O
vote,O
##r,O
fraud,O
(,O
of,O
which,O
there,O
was,O
much,O
!,O
),O
",",O
despite,O
many,O
pages,O
of,O
diss,O
##ent,O
from,O
three,O
highly,O
respected,O
justice,O
##s,O
.,O
one,O
thing,O
has,O
nothing,O
to,O
do,O
with,O
another,O
",",O
but,O
we,O
ended,O
up,O
losing,O
4,O
-,O
3,O
in,O
a,O
really,O
incorrect,O
ruling,O
!,O
great,O
.,O
.,O
.,O
,O
,O
date: 2020-02-18,O
.,O
.,O
.,O
.,O
the,O
united,O
states,O
is,O
open,O
for,O
business,O
!,O
,O
,O
date: 2020-02-18,O
the,O
cro,O
##oke,O
##d,O
dn,O
##c,O
is,O
working,O
overtime,O
to,O
take,O
the,O
demo,O
##cra,O
##t,O
nom,O
##ination,O
away,O
from,O
bern,O
##ie,O
",",O
again,O
!,O
watch,O
what,O
happens,O
to,O
the,O
super,O
delegate,O
##s,O
in,O
round,O
two,O
.,O
a,O
rig,O
##ged,O
convention,O
!,O
,O
,O
date: 2017-01-19,O
great,O
concert,O
at,O
4,O
:,O
00,O
p,O
.,O
m,O
.,O
today,O
at,O
lincoln,O
memorial,O
.,O
enjoy,O
!,O
,O
,O
date: 2018-04-12,O
big,O
show,O
ton,O
##ight,O
on,O
@,O
sean,O
##hann,O
##ity,O
!,O
9,O
:,O
00,O
p,O
.,O
m,O
.,O
on,O
@,O
fox,O
##new,O
##s,O
,O
,O
date: 2020-08-15,O
thank,O
you,O
to,O
the,O
great,O
pat,O
lynch,O
&,O
amp,O
;,O
the,O
@,O
nyc,O
##p,O
##ba,O
.,O
i,O
will,O
never,O
let,O
you,O
down,O
!,O
,O
,O
date: 2019-04-14,O
demo,O
##cra,O
##ts,O
must,O
change,O
the,O
immigration,O
laws,O
fast,O
.,O
if,O
not,O
",",O
san,O
##ct,O
##uary,O
cities,O
must,O
immediately,O
act,O
to,O
take,O
care,O
of,O
the,O
illegal,O
imm,O
##ig,O
##rant,O
##s,O
-,O
and,O
this,O
includes,O
gan,O
##g,O
members,O
",",O
drug,O
dealers,O
",",O
human,O
traffic,O
##kers,O
",",O
and,O
criminal,O
##s,O
of,O
all,O
shape,O
##s,O
",",O
sizes,O
and,O
kinds,O
.,O
change,O
the,O
laws,O
now,O
!,O
,O
,O
date: 2020-12-12,O
“,O
justice,O
##s,O
ali,O
##to,O
and,O
thomas,O
say,O
they,O
would,O
have,O
allowed,O
texas,O
to,O
proceed,O
with,O
its,O
election,O
lawsuit,O
.,O
”,O
@,O
sean,O
##hann,O
##ity,O
this,O
is,O
a,O
great,O
and,O
disg,O
##rac,O
##ef,O
##ul,O
misc,O
##arri,O
##age,O
of,O
justice,O
.,O
the,O
people,O
of,O
the,O
united,O
states,O
were,O
che,O
##ated,O
",",O
and,O
our,O
country,O
disg,O
##rac,O
##ed,O
.,O
never,O
even,O
given,O
our,O
day,O
in,O
court,O
!,O
,O
,O
date: 2019-09-30,O
.,O
.,O
.,O
.,O
they,O
made,O
this,O
whole,O
thing,O
up,O
.,O
impe,O
##ach,O
##ment,O
is,O
also,O
a,O
pre,O
-,O
emp,O
##tive,O
strike,O
for,O
what,O
they,O
think,O
is,O
coming,O
on,O
the,O
obama,O
administration,O
’,O
s,O
handling,O
of,O
the,O
2016,O
election,O
.,O
”,O
jim,O
mcl,O
##aug,O
##hl,O
##in,O
",",O
highly,O
respected,O
poll,O
##ster,O
.,O
@,O
wash,O
##times,O
@,O
fox,O
##new,O
##s,O
,O
,O
date: 2020-11-15,O
john,O
bolton,O
was,O
one,O
of,O
the,O
dum,O
##bes,O
##t,O
people,O
in,O
government,O
that,O
i,O
’,O
ve,O
had,O
the,O
“,O
pleasure,O
”,O
to,O
work,O
with,O
.,O
a,O
sul,O
##len,O
",",O
dul,O
##l,O
and,O
quiet,O
guy,O
",",O
he,O
added,O
nothing,O
to,O
national,O
security,O
except,O
",",O
“,O
ge,O
##e,O
",",O
let,O
’,O
s,O
go,O
to,O
war,O
.,O
”,O
also,O
",",O
illegal,O
##ly,O
released,O
much,O
classified,O
information,O
.,O
a,O
real,O
do,O
##pe,O
!,O
,O
,O
date: 2020-09-08,O
the,O
wonderful,O
charles,O
pay,O
##ne,O
@,O
cv,O
##pay,O
##ne,O
of,O
@,O
fox,O
##new,O
##s,O
just,O
wrote,O
a,O
great,O
and,O
insp,O
##ira,O
##tional,O
new,O
book,O
",",O
uns,O
##top,O
##pa,O
##ble,O
prosper,O
##ity,O
.,O
get,O
it,O
now,O
.,O
so,O
many,O
important,O
thoughts,O
and,O
suggesti,O
##ons,O
on,O
investing,O
and,O
“,O
making,O
money,O
”,O
.,O
also,O
",",O
charles,O
just,O
happens,O
to,O
be,O
a,O
great,O
guy,O
!,O
,O
,O
date: 2020-10-07,O
i,O
just,O
hope,O
the,O
vote,O
##r,O
understands,O
that,O
they,O
are,O
all,O
fa,O
##ke,O
news,O
trying,O
hard,O
to,O
push,O
a,O
man,O
that,O
should,O
never,O
be,O
president,O
of,O
our,O
country,O
.,O
,O
,O
date: 2020-10-01,O
will,O
be,O
interview,O
##ed,O
ton,O
##ight,O
by,O
@,O
sean,O
##hann,O
##ity,O
at,O
9,O
:,O
00,O
.,O
enjoy,O
!,O
@,O
fox,O
##new,O
##s,O
,O
,O
date: 2019-06-22,O
looking,O
good,O
.,O
we,O
must,O
win,O
to,O
keep,O
america,O
great,O
!,O
,O
,O
date: 2017-02-13,O
wonderful,O
meeting,O
with,O
canadian,O
pm,O
@,O
justin,O
##tru,O
##de,O
##au,O
and,O
a,O
group,O
of,O
leading,O
ceo,O
',O
s,O
&,O
amp,O
",",O
business,O
women,O
from,O
[UNK],O
th,O
.,O
.,O
.,O
,O
,O
date: 2019-08-13,O
as,O
usual,O
",",O
china,O
said,O
they,O
were,O
going,O
to,O
be,O
buying,O
“,O
big,O
”,O
from,O
our,O
great,O
american,O
farmers,O
.,O
so,O
far,O
they,O
have,O
not,O
done,O
what,O
they,O
said,O
.,O
maybe,O
this,O
will,O
be,O
different,O
!,O
,O
,O
date: 2018-09-14,O
we,O
love,O
the,O
#,O
ca,O
##jun,O
##nav,O
##y,O
-,O
thank,O
you,O
!,O
#,O
flor,O
##ence,O
##hur,O
##rica,O
##ne,O
##201,O
##8,O
,O
,O
date: 2019-03-01,O
oh,O
’,O
i,O
see,O
!,O
now,O
that,O
the,O
2,O
year,O
russian,O
coll,O
##usion,O
case,O
has,O
fallen,O
apart,O
",",O
there,O
was,O
no,O
coll,O
##usion,O
except,O
bye,O
cro,O
##oke,O
##d,O
hill,O
##ary,O
and,O
the,O
demo,O
##cra,O
##ts,O
",",O
they,O
say,O
",",O
“,O
ge,O
##e,O
",",O
i,O
have,O
an,O
idea,O
",",O
let,O
’,O
s,O
look,O
at,O
trump,O
’,O
s,O
finances,O
and,O
every,O
deal,O
he,O
has,O
ever,O
done,O
.,O
let,O
’,O
s,O
follow,O
discr,O
##edit,O
##ed,O
michael,O
cohen,O
.,O
.,O
.,O
.,O
.,O
,O
,O
date: 2019-02-19,O
the,O
failed,O
fast,O
train,O
project,O
in,O
california,O
",",O
were,O
the,O
cost,O
overruns,O
are,O
becoming,O
world,O
record,O
setting,O
",",O
is,O
hundreds,O
of,O
times,O
more,O
expensive,O
than,O
the,O
des,O
##perat,O
##ely,O
needed,O
wall,O
!,O
,O
,O
date: 2019-10-11,O
amazing,O
evening,O
!,O
,O
,O
date: 2019-12-16,O
“,O
here,O
in,O
america,O
it,O
will,O
be,O
the,O
same,O
victory,O
as,O
brexit,O
",",O
but,O
even,O
more,O
so,O
.,O
in,O
the,O
u,O
.,O
s,O
.,O
",",O
while,O
all,O
of,O
this,O
has,O
been,O
going,O
on,O
",",O
the,O
impe,O
##ach,O
##ment,O
",",O
the,O
obstruct,O
##ion,O
",",O
the,O
resistance,O
",",O
president,O
trump,O
has,O
managed,O
to,O
deliver,O
not,O
just,O
promises,O
",",O
but,O
a,O
record,O
which,O
adds,O
up,O
to,O
one,O
.,O
.,O
.,O
.,O
.,O
,O
,O
date: 2018-11-07,O
in,O
all,O
fairness,O
",",O
nancy,O
pel,O
##osi,O
deserves,O
to,O
be,O
chosen,O
speaker,O
of,O
the,O
house,O
by,O
the,O
demo,O
##cra,O
##ts,O
.,O
if,O
they,O
give,O
her,O
a,O
hard,O
time,O
",",O
perhaps,O
we,O
will,O
add,O
some,O
republic,O
##an,O
votes,O
.,O
she,O
has,O
earned,O
this,O
great,O
honor,O
!,O
,O
,O
date: 2019-03-25,O
“,O
the,O
special,O
counsel,O
did,O
not,O
find,O
that,O
the,O
trump,O
campaign,O
",",O
or,O
anyone,O
associated,O
with,O
it,O
",",O
cons,O
##pired,O
or,O
coordinated,O
with,O
the,O
russian,O
government,O
in,O
these,O
efforts,O
",",O
despite,O
multiple,O
offers,O
from,O
russian,O
-,O
affiliated,O
individuals,O
to,O
assist,O
the,O
trump,O
campaign,O
.,O
”,O
,O
,O
date: 2018-12-24,O
to,O
those,O
few,O
sen,O
##ators,O
who,O
think,O
i,O
don,O
’,O
t,O
like,O
or,O
appreciate,O
being,O
allied,O
with,O
other,O
countries,O
",",O
they,O
are,O
wrong,O
",",O
i,O
do,O
.,O
what,O
i,O
don,O
’,O
t,O
like,O
",",O
however,O
",",O
is,O
when,O
many,O
of,O
these,O
same,O
countries,O
take,O
advantage,O
of,O
their,O
friends,O
##hip,O
with,O
the,O
united,O
states,O
",",O
both,O
in,O
military,O
protection,O
and,O
trade,O
.,O
.,O
.,O
,O
,O
date: 2020-01-02,O
soh,O
##rab,O
ah,O
##mari,O
",",O
new,O
york,O
post,O
“,O
the,O
trump,O
campaign,O
raised,O
$,O
10,O
million,O
in,O
the,O
two,O
days,O
following,O
the,O
impe,O
##ach,O
##ment,O
(,O
sca,O
##m,O
),O
vote,O
.,O
it,O
seems,O
the,O
demo,O
##cra,O
##ts,O
have,O
shot,O
themselves,O
in,O
the,O
foot,O
in,O
one,O
more,O
way,O
.,O
they,O
set,O
up,O
a,O
process,O
they,O
know,O
is,O
not,O
going,O
to,O
lead,O
to,O
the,O
presidents,O
removal,O
",",O
&,O
amp,O
",",O
.,O
.,O
.,O
,O
,O
date: 2019-09-06,O
the,O
immigration,O
law,O
institute,O
’,O
s,O
christopher,O
ha,O
##je,O
##c,O
says,O
",",O
“,O
the,O
supreme,O
court,O
has,O
to,O
look,O
st,O
whether,O
dac,O
##a,O
is,O
law,O
##ful,O
.,O
what,O
they,O
are,O
looking,O
at,O
now,O
is,O
whether,O
trump,O
’,O
s,O
rec,O
##isi,O
##on,O
of,O
dac,O
##a,O
is,O
law,O
##ful,O
.,O
must,O
consider,O
law,O
##ful,O
##ness,O
of,O
dac,O
##a,O
itself,O
.,O
looks,O
very,O
odd,O
that,O
president,O
trump,O
does,O
##n,O
’,O
t,O
.,O
.,O
.,O
.,O
.,O
,O
,O
date: 2019-05-21,O
pennsylvania,O
-,O
don,O
’,O
t,O
forget,O
to,O
get,O
out,O
and,O
vote,O
today,O
for,O
republic,O
##an,O
fred,O
kell,O
##er,O
for,O
congress,O
.,O
fred,O
is,O
strong,O
on,O
crime,O
",",O
second,O
amendment,O
",",O
military,O
",",O
vet,O
##s,O
",",O
and,O
healthcare,O
.,O
he,O
has,O
my,O
complete,O
and,O
total,O
endorsement,O
!,O
,O
,O
date: 2019-10-29,O
“,O
this,O
is,O
a,O
big,O
win,O
for,O
america,O
",",O
and,O
also,O
for,O
president,O
trump,O
.,O
”,O
@,O
ny,O
##post,O
,O
,O
date: 2018-03-08,O
“,O
presidential,O
proc,O
##lam,O
##ation,O
on,O
adjusting,O
imports,O
of,O
aluminum,O
into,O
the,O
united,O
states,O
”,O
proc,O
##lam,O
##ation,O
:,O
,O
,O
date: 2020-03-24,O
this,O
is,O
not,O
about,O
the,O
rid,O
##icul,O
##ous,O
green,O
new,O
deal,O
.,O
it,O
is,O
about,O
putting,O
our,O
great,O
workers,O
and,O
companies,O
back,O
to,O
work,O
!,O
,O
,O
date: 2018-07-03,O
i,O
interview,O
##ed,O
4,O
very,O
impressive,O
people,O
yesterday,O
.,O
on,O
monday,O
i,O
will,O
be,O
announcing,O
my,O
decision,O
for,O
justice,O
of,O
the,O
united,O
states,O
supreme,O
court,O
!,O
,O
,O
date: 2018-04-15,O
slipp,O
##ery,O
james,O
come,O
##y,O
",",O
a,O
man,O
who,O
always,O
ends,O
up,O
bad,O
##ly,O
and,O
out,O
of,O
wha,O
##ck,O
(,O
he,O
is,O
not,O
smart,O
!,O
),O
",",O
will,O
go,O
down,O
as,O
the,O
worst,O
fb,O
##i,O
director,O
in,O
history,O
",",O
by,O
far,O
!,O
,O
,O
date: 2019-09-09,O
i,O
had,O
nothing,O
to,O
do,O
with,O
the,O
decision,O
of,O
our,O
great,O
@,O
vp,O
mike,O
penc,O
##e,O
to,O
stay,O
overnight,O
at,O
one,O
of,O
the,O
trump,O
owned,O
resorts,O
in,O
do,O
##on,O
##be,O
##g,O
",",O
ireland,O
.,O
mike,O
’,O
s,O
family,O
has,O
lived,O
in,O
do,O
##on,O
##be,O
##g,O
for,O
many,O
years,O
",",O
and,O
he,O
thought,O
that,O
during,O
his,O
very,O
busy,O
european,O
visit,O
",",O
he,O
would,O
stop,O
and,O
see,O
his,O
family,O
!,O
,O
,O
date: 2018-04-13,O
we,O
are,O
bringing,O
back,O
our,O
factories,O
",",O
we,O
are,O
bringing,O
back,O
our,O
jobs,O
",",O
and,O
we,O
are,O
bringing,O
back,O
those,O
four,O
beaut,O
##if,O
##ul,O
words,O
:,O
made,O
in,O
the,O
usa,O
!,O
,O
,O
date: 2020-12-08,O
for,O
cour,O
##age,O
&,O
amp,O
;,O
bri,O
##lli,O
##ance,O
!,O
,O
,O
date: 2020-01-06,O
iran,O
will,O
never,O
have,O
a,O
nuclear,O
wea,O
##pon,O
!,O
,O
,O
date: 2020-10-16,O
there,O
is,O
a,O
nas,O
##ty,O
rumo,O
##r,O
out,O
there,O
that,O
@,O
sen,O
##ator,O
##coll,O
##ins,O
of,O
maine,O
will,O
not,O
be,O
supporting,O
our,O
great,O
united,O
states,O
supreme,O
court,O
nominee,O
.,O
well,O
",",O
she,O
did,O
##n,O
’,O
t,O
support,O
healthcare,O
or,O
my,O
opening,O
up,O
5000,O
square,O
miles,O
of,O
ocean,O
to,O
maine,O
",",O
so,O
why,O
should,O
this,O
be,O
any,O
different,O
.,O
not,O
worth,O
the,O
work,O
!,O
,O
,O
date: 2020-12-29,O
.,O
.,O
.,O
.,O
can,O
you,O
imagine,O
if,O
the,O
republic,O
##ans,O
stol,O
##e,O
a,O
presidential,O
election,O
from,O
the,O
demo,O
##cra,O
##ts,O
-,O
all,O
hell,O
would,O
break,O
out,O
.,O
republic,O
##an,O
leadership,O
only,O
wants,O
the,O
path,O
of,O
least,O
resistance,O
.,O
our,O
leaders,O
(,O
not,O
me,O
",",O
of,O
course,O
!,O
),O
are,O
path,O
##etic,O
.,O
they,O
only,O
know,O
how,O
to,O
lose,O
!,O
p,O
.,O
s,O
.,O
i,O
got,O
many,O
sen,O
##ators,O
.,O
.,O
,O
,O
